country,country_name,current_account_usd,current_account_usd_source_snapshot_id,frequency,gdp_current_usd,gdp_current_usd_source_snapshot_id,inflation_cpi_annual_pct,inflation_cpi_annual_pct_source_snapshot_id,population_total,population_total_source_snapshot_id,schema_version,vintage_policy,year
BRA,Brazil,-24223442477.915,efc888626d2d34dbd3fb13845f063c2797b10bee78497eb80a99c99eca06ece9,A,1476107292151.95,00d3d9e1ada87813a2535c6ee8864299f21ff4e19d2b6d5b1681365f45fccf21,3.21176803803376,dc2adab04e07d26e1bd3d4ca707f5a8e4cbc0224b15d07ef76ea39fbb1504b28,208660842.0,d1c50ab18921d2735885891fcff0c4ad8ebc7786a0e887e95ebc9d5d4d5981b2,marco.global_macro_panel_row.v1,latest_revised_snapshot,2020
BRA,Brazil,-39397557333.0099,efc888626d2d34dbd3fb13845f063c2797b10bee78497eb80a99c99eca06ece9,A,1670647464062.96,00d3d9e1ada87813a2535c6ee8864299f21ff4e19d2b6d5b1681365f45fccf21,8.30165975585673,dc2adab04e07d26e1bd3d4ca707f5a8e4cbc0224b15d07ef76ea39fbb1504b28,209550294.0,d1c50ab18921d2735885891fcff0c4ad8ebc7786a0e887e95ebc9d5d4d5981b2,marco.global_macro_panel_row.v1,latest_revised_snapshot,2021
BRA,Brazil,-41960059748.66,efc888626d2d34dbd3fb13845f063c2797b10bee78497eb80a99c99eca06ece9,A,1951923832083.87,00d3d9e1ada87813a2535c6ee8864299f21ff4e19d2b6d5b1681365f45fccf21,9.28010608956872,dc2adab04e07d26e1bd3d4ca707f5a8e4cbc0224b15d07ef76ea39fbb1504b28,210306415.0,d1c50ab18921d2735885891fcff0c4ad8ebc7786a0e887e95ebc9d5d4d5981b2,marco.global_macro_panel_row.v1,latest_revised_snapshot,2022
BRA,Brazil,-27073227179.5849,efc888626d2d34dbd3fb13845f063c2797b10bee78497eb80a99c99eca06ece9,A,2191131869706.02,00d3d9e1ada87813a2535c6ee8864299f21ff4e19d2b6d5b1681365f45fccf21,4.59356282283203,dc2adab04e07d26e1bd3d4ca707f5a8e4cbc0224b15d07ef76ea39fbb1504b28,211140729.0,d1c50ab18921d2735885891fcff0c4ad8ebc7786a0e887e95ebc9d5d4d5981b2,marco.global_macro_panel_row.v1,latest_revised_snapshot,2023
BRA,Brazil,-66168310204.4699,efc888626d2d34dbd3fb13845f063c2797b10bee78497eb80a99c99eca06ece9,A,2185821648943.86,00d3d9e1ada87813a2535c6ee8864299f21ff4e19d2b6d5b1681365f45fccf21,4.36746407652336,dc2adab04e07d26e1bd3d4ca707f5a8e4cbc0224b15d07ef76ea39fbb1504b28,211998573.0,d1c50ab18921d2735885891fcff0c4ad8ebc7786a0e887e95ebc9d5d4d5981b2,marco.global_macro_panel_row.v1,latest_revised_snapshot,2024
CHN,China,20518382000.0,efc888626d2d34dbd3fb13845f063c2797b10bee78497eb80a99c99eca06ece9,A,1223754919971.05,00d3d9e1ada87813a2535c6ee8864299f21ff4e19d2b6d5b1681365f45fccf21,0.347811226864586,dc2adab04e07d26e1bd3d4ca707f5a8e4cbc0224b15d07ef76ea39fbb1504b28,1262645000.0,d1c50ab18921d2735885891fcff0c4ad8ebc7786a0e887e95ebc9d5d4d5981b2,marco.global_macro_panel_row.v1,latest_revised_snapshot,2000
CHN,China,17401000000.0,efc888626d2d34dbd3fb13845f063c2797b10bee78497eb80a99c99eca06ece9,A,1355036590251.52,00d3d9e1ada87813a2535c6ee8864299f21ff4e19d2b6d5b1681365f45fccf21,0.719125609120113,dc2adab04e07d26e1bd3d4ca707f5a8e4cbc0224b15d07ef76ea39fbb1504b28,1271850000.0,d1c50ab18921d2735885891fcff0c4ad8ebc7786a0e887e95ebc9d5d4d5981b2,marco.global_macro_panel_row.v1,latest_revised_snapshot,2001
CHN,China,35421997979.6472,efc888626d2d34dbd3fb13845f063c2797b10bee78497eb80a99c99eca06ece9,A,1489821682050.54,00d3d9e1ada87813a2535c6ee8864299f21ff4e19d2b6d5b1681365f45fccf21,-0.731970902350243,dc2adab04e07d26e1bd3d4ca707f5a8e4cbc0224b15d07ef76ea39fbb1504b28,1280400000.0,d1c50ab18921d2735885891fcff0c4ad8ebc7786a0e887e95ebc9d5d4d5981b2,marco.global_macro_panel_row.v1,latest_revised_snapshot,2002
CHN,China,43051582861.334,efc888626d2d34dbd3fb13845f063c2797b10bee78497eb80a99c99eca06ece9,A,1683903309843.85,00d3d9e1ada87813a2535c6ee8864299f21ff4e19d2b6d5b1681365f45fccf21,1.12760348729637,dc2adab04e07d26e1bd3d4ca707f5a8e4cbc0224b15d07ef76ea39fbb1504b28,1288400000.0,d1c50ab18921d2735885891fcff0c4ad8ebc7786a0e887e95ebc9d5d4d5981b2,marco.global_macro_panel_row.v1,latest_revised_snapshot,2003
CHN,China,68940960688.562,efc888626d2d34dbd3fb13845f063c2797b10bee78497eb80a99c99eca06ece9,A,1984196551300.44,00d3d9e1ada87813a2535c6ee8864299f21ff4e19d2b6d5b1681365f45fccf21,3.82463743108159,dc2adab04e07d26e1bd3d4ca707f5a8e4cbc0224b15d07ef76ea39fbb1504b28,1296075000.0,d1c50ab18921d2735885891fcff0c4ad8ebc7786a0e887e95ebc9d5d4d5981b2,marco.global_macro_panel_row.v1,latest_revised_snapshot,2004
