pair,target,horizon_months,model_id,n,mae,rmse,directional_accuracy
USD_JPY,fx_return_3m,3,random_walk,147,0.03331952167385346,0.04553031842265862,0.0
USD_JPY,fx_return_3m,3,real_rate_diff,147,0.03358433915178948,0.045818796237509195,0.5510204081632653
USD_JPY,fx_return_3m,3,ridge,147,0.03579865650704664,0.04640866037940723,0.564625850340136
USD_JPY,fx_return_3m,3,rolling_mean_36m,147,0.034402189676458285,0.045637461845536964,0.54421768707483
USD_JPY,fx_return_6m,6,carry_diff,147,0.051599142181331055,0.06809312924654118,0.4489795918367347
USD_JPY,fx_return_6m,6,no_change,147,0.05063760394557985,0.06770652174025736,0.0
USD_JPY,fx_return_6m,6,random_walk,147,0.05063760394557985,0.06770652174025736,0.0
USD_JPY,fx_return_6m,6,real_rate_diff,147,0.05143203085345501,0.06882227305362443,0.5102040816326531
USD_JPY,fx_return_6m,6,ridge,147,0.05135974587161601,0.06827454284537514,0.564625850340136
USD_JPY,fx_return_6m,6,rolling_mean_36m,147,0.048712813978834646,0.0684440119998286,0.6122448979591837
USD_MXN,fx_return_1m,1,carry_diff,130,0.025999843003486605,0.0354095020529915,0.5
USD_MXN,fx_return_1m,1,no_change,130,0.025898969072812188,0.034899918281337775,0.0
USD_MXN,fx_return_1m,1,random_walk,130,0.025898969072812188,0.034899918281337775,0.0
USD_MXN,fx_return_1m,1,real_rate_diff,130,0.02593596364505088,0.03526065735279558,0.5076923076923077
USD_MXN,fx_return_1m,1,ridge,130,0.02657955080461026,0.035956729328703016,0.4846153846153846
USD_MXN,fx_return_1m,1,rolling_mean_36m,130,0.026197593986016173,0.035416241670739694,0.47692307692307695
USD_MXN,fx_return_3m,3,carry_diff,130,0.046715222748585514,0.06309392986279606,0.5
USD_MXN,fx_return_3m,3,no_change,130,0.04616146599217612,0.06064508687886719,0.0
USD_MXN,fx_return_3m,3,random_walk,130,0.04616146599217612,0.06064508687886719,0.0
USD_MXN,fx_return_3m,3,real_rate_diff,130,0.045973648435853096,0.062150853210056665,0.5076923076923077
USD_MXN,fx_return_3m,3,ridge,130,0.04575408920798214,0.06108007415927057,0.5307692307692308
USD_MXN,fx_return_3m,3,rolling_mean_36m,130,0.047706824293786754,0.0622291656749157,0.5076923076923077
USD_MXN,fx_return_6m,6,carry_diff,130,0.06390067012525412,0.08437562331978128,0.47692307692307695
