period,interest_rate,inflation_yoy,growth_proxy_yoy
1969-02-28,6.61,4.572224933809494,5.481559009510635
1969-03-31,6.79,5.114751116694121,5.950926467708485
1969-04-30,7.41,5.3761176891452305,5.437869578840765
1969-05-31,8.67,5.360945060538088,3.94341808907289
1969-06-30,8.9,5.330855345450692,4.549119951605873
1969-07-31,8.61,5.3011015966503665,5.229182536526908
1969-08-31,9.19,5.286348955706781,5.180049684105703
1969-09-30,9.15,5.541583914156928,4.779585857241003
1969-10-31,9.0,5.511036271051888,4.610449316773814
1969-11-30,8.85,5.762911283663643,2.378128584913109
1969-12-31,8.97,5.7314456595980285,1.7940167007637162
1970-01-31,8.98,5.980042330278707,-0.6780522803529894
1970-02-28,8.98,6.226638872600078,-1.3817782513068362
1970-03-31,7.76,5.915703084776494,-2.292838367532822
1970-04-30,8.1,5.88405000229336,-2.1818248519896697
1970-05-31,7.95,5.868350182809021,-1.9195765713092574
1970-06-30,7.61,5.8372006221907045,-3.2159397438943076
1970-07-31,7.21,5.5496405449515445,-3.4974114442070423
1970-08-31,6.62,5.53500950831649,-3.905299927827032
1970-09-30,6.29,5.505977718302739,-4.574416426925959
1970-10-31,6.2,5.477248965411831,-6.624470108855293
1970-11-30,5.6,5.448818528406978,-6.284751373772002
1970-12-31,4.9,5.4206817836426735,-3.7454328604056286
1971-01-31,4.14,5.142521180743718,-1.1102388618285346
1971-02-28,3.72,4.616204176316241,-1.2351512137739804
1971-03-31,3.71,4.34295579273361,-1.2135414423356967
1971-04-30,4.16,4.071809301878497,-0.3960453674311184
1971-05-31,4.63,4.3099192481852056,0.22658929496189978
1971-06-30,4.91,4.288172748326576,0.9690866418436626
1971-07-31,5.31,4.2773815983286445,0.4335064453178255
1971-08-31,5.57,4.266644631890294,0.02971815535809905
1971-09-30,5.55,4.0005334613698995,2.3334660604212765
1971-10-31,5.2,3.7364246744867984,5.100094249633519
1971-11-30,4.91,3.4742948443872836,6.130829626884997
1971-12-31,4.14,3.2141209211796986,5.008106040476265
1972-01-31,3.51,3.2061932459663094,6.6046353774630875
1972-02-29,3.3,3.690455693545098,7.799507093263064
1972-03-31,3.83,3.4401426717332315,8.597003305231436
1972-04-30,4.17,3.431709292412916,9.032563050542628
1972-05-31,4.27,3.1748698314580484,8.540414456182292
1972-06-30,4.46,2.919915469226235,8.386340662479352
1972-07-31,4.55,2.9128272923023637,8.565054333457294
1972-08-31,4.81,2.905773447954255,10.531010714992075
1972-09-30,4.87,3.136565927821983,9.713686874238467
1972-10-31,5.05,3.1290157993210257,10.229979430309722
1972-11-30,5.06,3.3576295533604306,10.982004711365986
1972-12-31,5.33,3.3495954428182184,10.942153806128612
1973-01-31,5.94,3.5760663879098256,9.299791108070279
1973-02-28,6.58,3.7919234862293676,9.715173638924163
1973-03-31,7.09,4.717856027509047,9.074768611060684
1973-04-30,7.12,5.165467486489193,7.931863576022545
1973-05-31,7.84,5.381415281390798,8.597201193370054
1973-06-30,8.49,5.822366027889674,8.467509821923834
1973-07-31,10.4,5.582844955294189,8.934421052861575
1973-08-31,10.5,7.13766628422278,7.41398662530348
1973-09-30,10.78,7.104934614984979,7.415264235565903
1973-10-31,10.01,7.748749547837433,6.9954605612778
1973-11-30,10.03,7.9316754828587355,6.2734638490966095
1973-12-31,9.95,8.56378851618172,4.877851430153006
1974-01-31,9.65,9.168428268902208,3.4963800407540386
1974-02-28,8.97,9.531017980432473,1.7596113204683956
1974-03-31,9.35,9.656619839105112,1.7147928230221896
1974-04-30,10.51,9.593407501017094,1.5700926426701538
1974-05-31,11.31,10.170921082532242,1.6801778192784125
1974-06-30,11.93,10.309550902697403,1.368924566334247
1974-07-31,12.92,10.919929196499181,1.2290316962713732
1974-08-31,12.01,10.335851298715315,0.29821194689820746
1974-09-30,11.34,11.285448945523422,-0.4981327604111915
1974-10-31,10.06,11.19179162039854,-1.6132662553496449
1974-11-30,9.45,11.511669060319106,-5.414828652567941
1974-12-31,8.53,11.41768290796546,-8.802821954568863
1975-01-31,7.13,11.11131681472762,-9.54425854797236
1975-02-28,6.24,10.620582424577703,-11.547321675031583
1975-03-31,5.54,9.948555121480549,-12.674891247129185
1975-04-30,5.49,9.70097364404063,-12.14978801642416
1975-05-31,5.22,8.855339734144502,-13.268281918293967
1975-06-30,5.55,8.786135579133425,-12.46439581588697
1975-07-31,6.1,9.10599655156301,-11.636841930516646
1975-08-31,6.14,8.265990568812773,-9.590323838303398
1975-09-30,6.24,7.608230645743949,-8.307361347534496
1975-10-31,5.82,7.368771579115912,-7.595784936040697
1975-11-30,5.22,7.119110085859867,-4.113214687326304
1975-12-31,5.2,6.886441108469373,0.9186439607008842
1976-01-31,4.87,6.47774983163881,3.6315622858661647
1976-02-29,4.77,6.084826041738923,6.927765316571691
1976-03-31,4.84,5.884050002293339,8.267388698010922
1976-04-30,4.82,5.684389897652889,8.52918639820346
1976-05-31,5.29,6.029223025612004,9.282616638467017
1976-06-30,5.48,5.809255683174557,8.757874139043764
1976-07-31,5.31,5.406722127027579,8.283039241227177
1976-08-31,5.29,5.5619715275093355,7.989483901283162
1976-09-30,5.25,5.348868495098622,7.051847605991974
1976-10-31,5.02,5.320403606346467,6.582540484996802
1976-11-30,4.95,4.939275532957647,7.9609585488916155
1976-12-31,4.65,4.913268857764459,7.6801505625000575
1977-01-31,4.61,5.066585744678561,5.667549418912843
1977-02-28,4.68,5.904492584262625,6.259223380096499
1977-03-31,4.69,6.230388333615484,7.313135352627421
1977-04-30,4.73,6.72087496934501,7.774589009596242
1977-05-31,5.35,6.520319381076228,8.135791350621648
1977-06-30,5.39,6.486915430308929,8.80783549593991
1977-07-31,5.42,6.453852113757116,8.367694620798936
1977-08-31,5.9,6.421124245685579,7.781018741930504
1977-09-30,6.14,6.225727524032,7.847364279068923
1977-10-31,6.47,6.194448596052461,8.018859052641988
1977-11-30,6.51,6.4968721187225995,6.689889252092007
1977-12-31,6.56,6.464553595922597,5.79340583280735
1978-01-31,6.7,6.592172080482429,5.012789322154258
1978-02-28,6.78,6.052542038785293,3.9794463500790354
1978-03-31,6.79,6.1808287371876025,4.608254428993569
1978-04-30,6.89,6.297479916138839,5.659292445378712
1978-05-31,7.36,6.899287148695142,5.339431170016117
1978-06-30,7.6,7.174390485884132,5.211556992802608
1978-07-31,7.81,7.4460353669084896,5.001275442091665
1978-08-31,8.04,7.562657533091192,5.312057413408641
1978-09-30,8.45,8.142210471964274,5.153706161464741
1978-10-31,8.96,8.552217343816192,5.759748407189422
1978-11-30,9.76,8.49932128333925,6.3446407735620465
1978-12-31,10.03,8.60746087712432,6.66323206404403
1979-01-31,10.07,8.847229762930455,7.602887740695885
1979-02-28,10.06,9.386613623209128,7.546718494560789
1979-03-31,10.09,9.760178779658437,5.974007503254098
1979-04-30,10.01,9.971078311570723,2.7578667785622244
1979-05-31,10.24,10.16326455438119,3.195114926506272
1979-06-30,10.29,10.50527760031434,2.5693132212365777
1979-07-31,10.47,10.840929850718496,2.4843947055656352
1979-08-31,10.94,11.186435768682927,1.4139171235402723
1979-09-30,11.43,11.225399417723784,1.143912698448893
1979-10-31,13.77,11.396718697815825,1.120399578027168
1979-11-30,13.18,11.8605742407847,0.19670330167764807
1979-12-31,13.78,12.446984194694782,-0.23375852521867013
1980-01-31,13.82,12.987508142141207,0.8488348938411254
1980-02-29,14.13,13.244698984339747,0.39785656555987037
1980-03-31,17.19,13.621020483454881,-0.33604549179448834
1980-04-30,17.61,13.618367956524969,-1.1336042926689838
1980-05-31,10.98,13.475613252041843,-4.527226008442682
1980-06-30,9.47,13.335824744185462,-5.848875443440723
1980-07-31,9.03,12.355023937854117,-6.387361582155952
1980-08-31,9.61,12.124454863187196,-5.413360724841572
1980-09-30,10.87,12.016967163411431,-3.759877838520864
1980-10-31,12.81,11.896437070221456,-3.220298615400901
1980-11-30,15.85,11.89519428613653,-1.4049082941949167
1980-12-31,18.9,11.648179929841165,-0.8084682640715678
1981-01-31,19.08,11.149550422534222,-1.990960871752709
1981-02-28,15.93,10.788896201118492,-2.4450715656483575
1981-03-31,14.7,10.085600353672177,-1.5296657946199466
1981-04-30,15.72,9.654551041231757,0.035989014889260075
1981-05-31,18.52,9.34167671987932,3.0983682236992247
1981-06-30,19.1,9.255155736524511,4.9072055128522685
1981-07-31,19.04,10.232929175454336,6.2664617327494785
1981-08-31,17.82,10.271278273538519,5.82867479428737
1981-09-30,15.87,10.404857080986082,3.709340096443372
1981-10-31,15.08,9.777574357678818,1.6544718412542379
1981-11-30,13.31,9.14795728644827,-1.1749872284237195
1981-12-31,12.37,8.53703707813239,-2.9074967335816124
1982-01-31,13.22,7.933674223652101,-4.350601018552782
1982-02-28,14.78,7.337718571382612,-1.9077406309206197
1982-03-31,14.68,6.658214258099749,-3.0818948391974588
1982-04-30,14.94,6.411755712377724,-3.5687695424750614
1982-05-31,14.45,6.683521282464219,-4.808239213784354
1982-06-30,14.15,6.936112779750232,-5.577088800428612
1982-07-31,12.59,6.351340572232593,-6.559666016340674
1982-08-31,10.12,5.794142848618896,-7.352023687716643
1982-09-30,10.31,4.822737476571583,-7.116139390635484
